id,customer_id,timestamp,question,category,sentiment,priority,department,answer,reference,satisfaction,status,notes
Q020,C256,2025-04-09 14:25:33,สินค้าแพงกว่าร้านอื่นมาก คุณภาพก็ไม่ได้ดีขนาดนั้น รู้สึกผิดหวังมาก,ข้อเสนอแนะ,เชิงลบ,สูง,ฝ่ายบริหาร,ขออภัยที่คุณรู้สึกผิดหวัง ทางเรายินดีรับฟังความคิดเห็นและจะนำไปปรับปรุง หากคุณสามารถให้รายละเอียดเพิ่มเติมเกี่ยวกับสินค้าที่คุณซื้อ เราจะตรวจสอบและติดต่อกลับโดยเร็วที่สุด,KB008,1,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจมาก ต้องให้ติดต่อกับเจ้าหน้าที่โดยด่วน
Q021,C189,2025-04-10 09:05:42,มีการส่งเสริมการขายอะไรบ้างในเดือนนี้?,โปรโมชั่น,เป็นกลาง,ต่ำ,ฝ่ายการตลาด,เดือนนี้เรามีโปรโมชั่นลด 20% สำหรับสินค้าในหมวดอิเล็กทรอนิกส์ และโปรโมชั่นซื้อ 1 แถม 1 สำหรับสินค้าในหมวดความงาม ดูรายละเอียดเพิ่มเติมได้ที่หน้าโปรโมชั่นบนเว็บไซต์ของเรา,FAQ030,5,แก้ไขแล้ว,NULL
Q022,C223,2025-04-10 15:30:27,ไม่สามารถใช้คูปองส่วนลดที่ได้รับจากอีเมลได้,โปรโมชั่น,เชิงลบ,ปานกลาง,ฝ่ายการตลาด,กรุณาตรวจสอบวันหมดอายุของคูปองและเงื่อนไขการใช้งาน หากยังมีปัญหา กรุณาแจ้งรหัสคูปองเพื่อให้เราตรวจสอบเพิ่มเติม,FAQ015,3,กำลังดำเนินการ,NULL
Q023,C276,2025-04-11 09:40:38,ระบบสมาชิกมีประโยชน์อะไรบ้าง?,สมาชิก,เป็นกลาง,ต่ำ,ฝ่ายการตลาด,"สมาชิกจะได้รับสิทธิประโยชน์มากมาย เช่น ส่วนลดพิเศษ 10%, สะสมคะแนนเพื่อแลกสินค้า, ฟรีค่าจัดส่ง, โปรโมชั่นเฉพาะสมาชิก และการเข้าถึงการขายพิเศษก่อนลูกค้าทั่วไป",FAQ042,5,แก้ไขแล้ว,NULL
Q024,C342,2025-04-11 14:15:52,วิธีเช็คคะแนนสะสมทำอย่างไร?,สมาชิก,เป็นกลาง,ต่ำ,ฝ่ายบัญชี,"คุณสามารถเช็คคะแนนสะสมได้โดยล็อกอินเข้าบัญชีของคุณ แล้วไปที่ 'สมาชิกของฉัน' > 'คะแนนสะสม' คะแนนจะแสดงพร้อมกับประวัติการสะสมและการใช้คะแนน",FAQ043,5,แก้ไขแล้ว,NULL
Q025,C175,2025-04-12 08:55:19,สินค้าในเว็บระบุว่ามีของในสต็อก แต่พอสั่งกลับบอกว่าของหมด,สินค้า,เชิงลบ,ปานกลาง,ฝ่าย IT,ขออภัยสำหรับข้อมูลที่คลาดเคลื่อน ทางเรากำลังปรับปรุงระบบตรวจสอบสต็อกสินค้า กรุณาแจ้งรหัสสินค้าเพื่อให้เราช่วยตรวจสอบและอัพเดทข้อมูล,KB030,3,กำลังดำเนินการ,NULL
Q026,C405,2025-04-12 15:40:36,แอพแสดงราคาไม่ตรงกับตอนชำระเงิน มีค่าธรรมเนียมแอบแฝงหรือเปล่า?,ราคา,เชิงลบ,สูง,ฝ่าย IT,ขออภัยสำหรับความสับสน ราคาที่แสดงอาจไม่รวมภาษีหรือค่าจัดส่ง ซึ่งจะถูกเพิ่มในขั้นตอนชำระเงิน เรากำลังปรับปรุงการแสดงผลให้ชัดเจนยิ่งขึ้น กรุณาแจ้งรายละเอียดเพิ่มเติมเพื่อให้เราตรวจสอบ,KB035,2,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจ ต้องให้ติดต่อกับเจ้าหน้าที่
Q027,C289,2025-04-13 13:45:18,ทำไมราคาสินค้าในเว็บไซต์กับในแอพไม่ตรงกัน?,ราคา,เชิงลบ,ปานกลาง,ฝ่ายการตลาด,ขออภัยในความสับสน ราคาอาจแตกต่างกันเนื่องจากโปรโมชั่นพิเศษบนแพลตฟอร์มต่างๆ เราจะปรับปรุงให้แสดงข้อมูลชัดเจนมากขึ้น,FAQ025,3,แก้ไขแล้ว,NULL
Q028,C213,2025-04-13 10:10:25,ไม่ได้รับอีเมลยืนยันการสั่งซื้อ,คำสั่งซื้อ,เชิงลบ,ปานกลาง,ฝ่ายบัญชี,กรุณาตรวจสอบโฟลเดอร์จดหมายขยะ หากยังไม่พบ เราสามารถส่งอีเมลยืนยันใหม่ให้ได้ กรุณาแจ้งหมายเลขคำสั่งซื้อและอีเมลที่ใช้ในการลงทะเบียน,FAQ011,4,แก้ไขแล้ว,NULL
Q029,C328,2025-04-14 13:25:47,ไม่พอใจกับคุณภาพสินค้าเลย ราคาแพงแต่ของแย่มาก!,สินค้า,เชิงลบ,สูง,ฝ่ายบริหาร,ขออภัยอย่างยิ่งที่คุณไม่พอใจในสินค้า ทางเรายินดีรับฟังความคิดเห็นเพื่อปรับปรุง กรุณาให้รายละเอียดเพิ่มเติมเกี่ยวกับสินค้าและปัญหาที่พบ ทางเรายินดีเสนอทางแก้ไขให้คุณพอใจสูงสุด,KB008,1,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจมาก ต้องให้ติดต่อกับเจ้าหน้าที่โดยด่วน
Q030,C319,2025-04-14 14:20:44,พนักงานที่สาขาให้ข้อมูลผิดทำให้ซื้อสินค้าผิด เสียเวลามาก,พนักงาน,เชิงลบ,สูง,ฝ่ายบริการลูกค้า,ขออภัยอย่างยิ่งสำหรับประสบการณ์ที่ไม่ดี ทางเราจะนำเรื่องนี้ไปปรับปรุงการอบรมพนักงาน สำหรับสินค้าที่ซื้อผิด คุณสามารถคืนหรือเปลี่ยนได้ภายใน 30 วัน กรุณาแจ้งรายละเอียดเพิ่มเติมเพื่อให้เราช่วยเหลือได้อย่างเหมาะสม,KB025,1,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจมาก ต้องให้ติดต่อกับเจ้าหน้าที่โดยด่วน
Q031,C322,2025-04-15 14:15:48,เมื่อไหร่จะมีสินค้ารุ่นใหม่เข้ามา รอมานานมากแล้ว,สินค้า,เชิงลบ,ปานกลาง,ฝ่ายจัดซื้อ,ขออภัยที่ทำให้ต้องรอ สินค้ารุ่นใหม่มีกำหนดการเข้าสต็อกภายในสัปดาห์หน้า คุณสามารถลงทะเบียนรับการแจ้งเตือนเมื่อสินค้าพร้อมจำหน่ายได้ที่หน้ารายละเอียดสินค้า,KB018,3,กำลังดำเนินการ,NULL
Q032,C401,2025-04-15 16:35:28,กดซื้อสินค้าแล้วเงินหายไปจากบัญชี แต่ไม่มีการยืนยันคำสั่งซื้อเลย,การชำระเงิน,เชิงลบ,สูง,ฝ่ายการเงิน,ขออภัยอย่างยิ่งสำหรับความไม่สะดวก บางครั้งธนาคารอาจตัดเงินไปแล้วแต่ข้อมูลยังไม่ส่งมาที่ระบบของเรา กรุณาส่งหลักฐานการชำระเงินและรายละเอียดการสั่งซื้อ เราจะเร่งตรวจสอบและแก้ไขให้ทันที,KB050,2,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจ ต้องให้ติดต่อกับเจ้าหน้าที่
Q033,C195,2025-04-16 08:55:14,ช่องทางการติดต่อฝ่ายบริการลูกค้ามีที่ไหนบ้าง?,ข้อมูลทั่วไป,เป็นกลาง,ต่ำ,ฝ่ายบริการลูกค้า,"คุณสามารถติดต่อเราได้หลายช่องทาง ได้แก่ โทรศัพท์ 02-123-4567 (ทุกวัน 8.00-20.00 น.), ไลน์ @servicecenter, อีเมล help@example.com, แชทในเว็บไซต์หรือแอพของเรา หรือติดต่อที่เคาน์เตอร์บริการลูกค้าที่สาขาทุกแห่ง",FAQ050,5,แก้ไขแล้ว,NULL
Q034,C198,2025-04-16 09:45:21,อยากทราบเวลาทำการของสาขาเซ็นทรัลลาดพร้าว,ข้อมูลทั่วไป,เป็นกลาง,ต่ำ,ฝ่ายบริการลูกค้า,สาขาเซ็นทรัลลาดพร้าวเปิดให้บริการทุกวัน เวลา 10:00 - 22:00 น. วันหยุดนักขัตฤกษ์อาจมีการเปลี่ยนแปลง สามารถตรวจสอบเวลาทำการล่าสุดได้ที่เว็บไซต์หรือแอพของเรา,FAQ040,5,แก้ไขแล้ว,NULL
Q035,C251,2025-04-16 12:20:35,มีสินค้าให้ทดลองใช้ก่อนซื้อไหม?,สินค้า,เป็นกลาง,ปานกลาง,ฝ่ายขาย,เรามีบริการทดลองใช้สินค้าที่สาขาทุกแห่งสำหรับอุปกรณ์อิเล็กทรอนิกส์ เครื่องใช้ไฟฟ้า และสินค้าเครื่องสำอาง นอกจากนี้ สำหรับสินค้าบางรายการเรายังมีโปรแกรมทดลองใช้ที่บ้าน 7 วัน โดยมีเงื่อนไขการวางมัดจำ คุณสามารถสอบถามรายละเอียดเพิ่มเติมได้ที่พนักงานขาย,FAQ055,4,แก้ไขแล้ว,NULL
Q036,C279,2025-04-16 15:40:19,มีบริการซ่อมนอกสถานที่หรือไม่? เครื่องซักผ้าเสียไม่สามารถขนมาที่ศูนย์ได้,บริการซ่อม,เป็นกลาง,ปานกลาง,ฝ่ายเทคนิค,เรามีบริการซ่อมนอกสถานที่สำหรับเครื่องใช้ไฟฟ้าขนาดใหญ่ เช่น เครื่องซักผ้า ตู้เย็น และเครื่องปรับอากาศ คุณสามารถนัดหมายช่างได้ผ่านแอปพลิเคชัน เว็บไซต์ หรือโทรศัพท์ 02-123-4567 ค่าบริการเริ่มต้นที่ 500 บาท (ไม่รวมค่าอะไหล่) และอาจมีค่าใช้จ่ายเพิ่มเติมขึ้นอยู่กับระยะทางและความซับซ้อนของงาน,FAQ060,5,แก้ไขแล้ว,NULL
Q037,C357,2025-04-17 15:30:42,ขอบคุณสำหรับการแก้ไขปัญหาอย่างรวดเร็วมาก ประทับใจการบริการมากๆ,ข้อเสนอแนะ,เชิงบวก,ต่ำ,ฝ่ายบริหาร,ขอบคุณสำหรับคำชมเชย ทางเรายินดีเป็นอย่างยิ่งที่ได้ช่วยเหลือและคุณพึงพอใจกับการบริการ หวังว่าจะได้บริการคุณอีกในโอกาสถัดไป,KB001,5,แก้ไขแล้ว,NULL
Q038,C207,2025-04-17 11:25:37,อยากให้มีบริการจัดส่งในวันเดียวกับที่สั่ง,ข้อเสนอแนะ,เป็นกลาง,ต่ำ,ฝ่ายบริหาร,ขอบคุณสำหรับคำแนะนำ ทางเรากำลังพัฒนาบริการจัดส่งในวันเดียวกันสำหรับพื้นที่ในกรุงเทพฯและปริมณฑล คาดว่าจะเริ่มให้บริการได้ภายในไตรมาสหน้า เราจะแจ้งให้ทราบเมื่อบริการนี้พร้อมให้บริการ,KB060,4,กำลังดำเนินการ,NULL
Q039,C184,2025-04-18 10:30:22,ขอคำแนะนำเกี่ยวกับผลิตภัณฑ์ที่เหมาะกับผิวแพ้ง่าย,สินค้า,เป็นกลาง,ต่ำ,ฝ่ายผลิตภัณฑ์,"สำหรับผิวแพ้ง่าย เราแนะนำผลิตภัณฑ์ในกลุ่ม 'Sensitive Skin' ที่ปราศจากน้ำหอมและแอลกอฮอล์ ได้แก่ รหัสสินค้า SK101, SK105 และ SK110 ซึ่งผ่านการทดสอบโดยผู้เชี่ยวชาญด้านผิวหนัง",KB032,5,แก้ไขแล้ว,NULL
Q040,C192,2025-04-18 14:15:39,ต้องการคำแนะนำในการเลือกโทรทัศน์ที่เหมาะกับห้องขนาดเล็ก,สินค้า,เป็นกลาง,ต่ำ,ฝ่ายผลิตภัณฑ์,สำหรับห้องขนาดเล็ก เราแนะนำทีวีขนาด 32-43 นิ้ว ซึ่งเหมาะกับระยะการรับชมประมาณ 1-2.5 เมตร รุ่นที่เป็นที่นิยมได้แก่ STV-32A ที่มาพร้อมระบบเสียงคุณภาพสูงในขนาดกะทัดรัด หรือ LTV-43B ที่มีขอบจอบางและติดตั้งแบบแขวนได้เพื่อประหยัดพื้นที่ คุณสามารถดูรายละเอียดเพิ่มเติมหรือทดลองชมได้ที่สาขาใกล้บ้าน,KB065,5,แก้ไขแล้ว,NULL
